Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
wcaC	41.7414166145713	0.487769126254633	0.305314515061091	1.59759560123446	0.110133006033625	0.178677324474132
ompT	33752.6110231098	0.281747659574085	0.176381992731427	1.59737201746607	0.110182806160738	0.178692350830218
ruvA	830.288157265813	0.317264374585492	0.198996378260141	1.59432235581063	0.110863852980993	0.179682351792184
iscS	6277.62784058864	0.337856631335769	0.211918854785609	1.5942735802228	0.110874772430749	0.179682351792184
yibH	87.162672504421	-0.463147123205235	0.290730325458426	-1.59304717344137	0.111149608800804	0.180061549281126
def	7889.46169188044	0.193954637696569	0.121800478549318	1.59239635185863	0.111295675433519	0.180231938762289
yfcJ	237.953569621682	0.350981629668961	0.220732915374061	1.59007381873327	0.111818166651884	0.181011560264968
mcrB	1868.1816415339	0.193913777261823	0.12212306733927	1.5878554435839	0.112319030824943	0.181755612289408
cysQ	731.383631317005	-0.401646780549884	0.253270140459118	-1.58584339954878	0.112774837963044	0.182426233299485
rnhA	619.910979591943	0.341593412425566	0.215889024644836	1.58226391076401	0.113589335768356	0.18367637273181
yehW	92.9722650750506	0.430408834572022	0.272215884436746	1.58113048936362	0.113848204689219	0.184027461045133
coaE	564.426228197446	0.249783545933091	0.158569042456939	1.57523525439035	0.115202152474377	0.186136921886545
